layer,lr_accuracy_mean,lr_accuracy_std,diffmean_1d_accuracy
0,0.8074473297403234,0.11898768521514201,0.7244897959183674
1,0.8647966682998529,0.012978838491591094,0.7448979591836735
2,0.8825983994773804,0.025371743068512177,0.673469387755102
3,0.8851788339049487,0.019070491157812963,0.6862244897959183
4,0.9029968969459414,0.03958457959537686,0.7448979591836735
5,0.8236322064347542,0.14183706187773584,0.7551020408163265
6,0.9119222603299036,0.04349238715755435,0.7602040816326531
7,0.8979176874081333,0.019603073876215342,0.7627551020408163
8,0.9119385921933691,0.025857502453847565,0.7602040816326531
9,0.887742936469051,0.021609709284151603,0.7602040816326531
10,0.9030377266046056,0.03164993786003539,0.7627551020408163
11,0.925975828842071,0.02389790301247114,0.7627551020408163
12,0.9131879797484892,0.033460919399789506,0.7627551020408163
13,0.917042299526376,0.025393715959046444,0.7627551020408163
14,0.9157602482443246,0.025566206006951992,0.7627551020408163
15,0.9119549240568349,0.01927314897006716,0.7627551020408163
16,0.9157357504491263,0.03599792790057538,0.7627551020408163
17,0.9081006042789482,0.030059308263773028,0.7627551020408163
18,0.9030703903315368,0.029408693623010126,0.7653061224489796
19,0.8991997386901847,0.04916356420607416,0.7653061224489796
20,0.9196472317491425,0.018703228363876414,0.7678571428571429
21,0.9170504654581088,0.028078192611562858,0.7653061224489796
22,0.9004001306549079,0.0504922981236065,0.7653061224489796
23,0.9119385921933691,0.027381556337040695,0.7653061224489796
24,0.9042707822962599,0.047354994999622896,0.7653061224489796
25,0.9068512167238282,0.04130647275161136,0.7653061224489796
26,0.9042626163645272,0.03307053547017981,0.7653061224489796
27,0.9106402090478524,0.03519605245238435,0.7627551020408163
28,0.9054630083292503,0.06099608615976064,0.7602040816326531
29,0.9234770537318309,0.020114272918795865,0.7602040816326531
30,0.9310795361750775,0.022406459592719623,0.8086734693877551
31,0.9208966193042626,0.0230899224915938,0.798469387755102
